,id,season,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,umpire1,umpire2
0,335982,2007/08,Bangalore,2008-04-18,BB McCullum,M Chinnaswamy Stadium,RCB,KKR,RCB,field,KKR,runs,140.0,223.0,20.0,N,Asad Rauf,RE Koertzen
1,335983,2007/08,Chandigarh,2008-04-19,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",KXIP,CSK,CSK,bat,CSK,runs,33.0,241.0,20.0,N,MR Benson,SL Shastri
2,335984,2007/08,Delhi,2008-04-19,MF Maharoof,Feroz Shah Kotla,DC,RR,RR,bat,DC,wickets,9.0,130.0,20.0,N,Aleem Dar,GA Pratapkumar
3,335985,2007/08,Mumbai,2008-04-20,MV Boucher,Wankhede Stadium,MI,RCB,MI,bat,RCB,wickets,5.0,166.0,20.0,N,SJ Davis,DJ Harper
4,335986,2007/08,Kolkata,2008-04-20,DJ Hussey,Eden Gardens,KKR,HDC,HDC,bat,KKR,wickets,5.0,111.0,20.0,N,BF Bowden,K Hariharan
5,335987,2007/08,Jaipur,2008-04-21,SR Watson,Sawai Mansingh Stadium,RR,KXIP,KXIP,bat,RR,wickets,6.0,167.0,20.0,N,Aleem Dar,RB Tiffin
6,335988,2007/08,Hyderabad,2008-04-22,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",HDC,DC,HDC,bat,DC,wickets,9.0,143.0,20.0,N,IL Howell,AM Saheba
7,335989,2007/08,Chennai,2008-04-23,ML Hayden,"MA Chidambaram Stadium, Chepauk",CSK,MI,MI,field,CSK,runs,6.0,209.0,20.0,N,DJ Harper,GA Pratapkumar
8,335990,2007/08,Hyderabad,2008-04-24,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",HDC,RR,RR,field,RR,wickets,3.0,215.0,20.0,N,Asad Rauf,MR Benson
9,335991,2007/08,Chandigarh,2008-04-25,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",KXIP,MI,MI,field,KXIP,runs,66.0,183.0,20.0,N,Aleem Dar,AM Saheba
10,335992,2007/08,Bangalore,2008-04-26,SR Watson,M Chinnaswamy Stadium,RCB,RR,RR,field,RR,wickets,7.0,136.0,20.0,N,MR Benson,IL Howell
11,335993,2007/08,Chennai,2008-04-26,JDP Oram,"MA Chidambaram Stadium, Chepauk",CSK,KKR,KKR,bat,CSK,wickets,9.0,148.0,20.0,N,BF Bowden,AV Jayaprakash
12,335994,2007/08,Mumbai,2008-04-27,AC Gilchrist,Dr DY Patil Sports Academy,MI,HDC,HDC,field,HDC,wickets,10.0,155.0,20.0,N,Asad Rauf,SL Shastri
13,335995,2007/08,Chandigarh,2008-04-27,SM Katich,"Punjab Cricket Association Stadium, Mohali",KXIP,DC,DC,bat,KXIP,wickets,4.0,159.0,20.0,N,RE Koertzen,I Shivram
14,335996,2007/08,Bangalore,2008-04-28,MS Dhoni,M Chinnaswamy Stadium,RCB,CSK,CSK,bat,CSK,runs,13.0,179.0,20.0,N,BR Doctrove,RB Tiffin
15,335997,2007/08,Kolkata,2008-04-29,ST Jayasuriya,Eden Gardens,KKR,MI,KKR,bat,MI,wickets,7.0,138.0,20.0,N,BF Bowden,AV Jayaprakash
16,335998,2007/08,Delhi,2008-04-30,GD McGrath,Feroz Shah Kotla,DC,RCB,RCB,field,DC,runs,10.0,192.0,20.0,N,Aleem Dar,I Shivram
17,335999,2007/08,Hyderabad,2008-05-01,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",HDC,KXIP,KXIP,field,KXIP,wickets,7.0,165.0,20.0,N,BR Doctrove,RB Tiffin
18,336000,2007/08,Jaipur,2008-05-01,SA Asnodkar,Sawai Mansingh Stadium,RR,KKR,RR,bat,RR,runs,45.0,197.0,20.0,N,RE Koertzen,GA Pratapkumar
19,336001,2007/08,Chennai,2008-05-02,V Sehwag,"MA Chidambaram Stadium, Chepauk",CSK,DC,CSK,bat,DC,wickets,8.0,170.0,20.0,N,BF Bowden,K Hariharan
20,336003,2007/08,Chandigarh,2008-05-03,IK Pathan,"Punjab Cricket Association Stadium, Mohali",KXIP,KKR,KXIP,bat,KXIP,runs,9.0,179.0,20.0,N,DJ Harper,I Shivram
21,336034,2007/08,Bangalore,2008-05-03,P Kumar,M Chinnaswamy Stadium,RCB,HDC,HDC,field,RCB,runs,3.0,157.0,20.0,N,BR Doctrove,SL Shastri
22,336004,2007/08,Mumbai,2008-05-04,SM Pollock,Dr DY Patil Sports Academy,MI,DC,DC,field,MI,runs,29.0,163.0,20.0,N,IL Howell,RE Koertzen
23,336005,2007/08,Jaipur,2008-05-04,Sohail Tanvir,Sawai Mansingh Stadium,RR,CSK,CSK,bat,RR,wickets,8.0,110.0,20.0,N,Asad Rauf,AV Jayaprakash
24,336006,2007/08,Bangalore,2008-05-05,S Sreesanth,M Chinnaswamy Stadium,RCB,KXIP,KXIP,field,KXIP,wickets,6.0,127.0,20.0,N,SJ Davis,BR Doctrove
25,336007,2007/08,Chennai,2008-05-06,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",CSK,HDC,HDC,field,HDC,wickets,7.0,145.0,20.0,N,MR Benson,RB Tiffin
26,336008,2007/08,Mumbai,2008-05-07,A Nehra,Dr DY Patil Sports Academy,MI,RR,MI,field,MI,wickets,7.0,104.0,20.0,N,DJ Harper,RE Koertzen
27,336009,2007/08,Delhi,2008-05-08,MS Dhoni,Feroz Shah Kotla,DC,CSK,CSK,field,CSK,wickets,4.0,188.0,20.0,N,Aleem Dar,RB Tiffin
28,336010,2007/08,Kolkata,2008-05-08,SC Ganguly,Eden Gardens,KKR,RCB,KKR,bat,KKR,runs,5.0,130.0,16.0,N,Asad Rauf,IL Howell
29,336011,2007/08,Jaipur,2008-05-09,YK Pathan,Sawai Mansingh Stadium,RR,HDC,RR,field,RR,wickets,8.0,141.0,20.0,N,MR Benson,AM Saheba
30,336013,2007/08,Chennai,2008-05-10,L Balaji,"MA Chidambaram Stadium, Chepauk",CSK,KXIP,KXIP,field,CSK,runs,18.0,182.0,20.0,N,AV Jayaprakash,BG Jerling
31,336014,2007/08,Hyderabad,2008-05-11,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",HDC,KKR,KKR,bat,KKR,runs,23.0,205.0,20.0,N,IL Howell,AM Saheba
32,336015,2007/08,Jaipur,2008-05-11,SR Watson,Sawai Mansingh Stadium,RR,DC,RR,field,RR,wickets,3.0,157.0,20.0,N,SJ Davis,RE Koertzen
33,336016,2007/08,Chandigarh,2008-05-12,SE Marsh,"Punjab Cricket Association Stadium, Mohali",KXIP,RCB,RCB,bat,KXIP,wickets,9.0,144.0,20.0,N,BR Doctrove,I Shivram
34,336017,2007/08,Kolkata,2008-05-13,Shoaib Akhtar,Eden Gardens,KKR,DC,KKR,bat,KKR,runs,23.0,134.0,20.0,N,Asad Rauf,IL Howell
35,336018,2007/08,Mumbai,2008-05-14,ST Jayasuriya,Wankhede Stadium,MI,CSK,MI,field,MI,wickets,9.0,157.0,20.0,N,BR Doctrove,AM Saheba
36,336020,2007/08,Delhi,2008-05-15,A Mishra,Feroz Shah Kotla,DC,HDC,HDC,field,DC,runs,12.0,195.0,20.0,N,BG Jerling,GA Pratapkumar
37,336021,2007/08,Mumbai,2008-05-16,SM Pollock,Wankhede Stadium,MI,KKR,MI,field,MI,wickets,8.0,68.0,20.0,N,BR Doctrove,DJ Harper
38,336022,2007/08,Delhi,2008-05-17,DPMD Jayawardene,Feroz Shah Kotla,DC,KXIP,DC,bat,KXIP,runs,6.0,89.0,8.0,N,AV Jayaprakash,RE Koertzen
39,336023,2007/08,Jaipur,2008-05-17,GC Smith,Sawai Mansingh Stadium,RR,RCB,RCB,field,RR,runs,65.0,198.0,20.0,N,BF Bowden,SL Shastri
