Player_name,Batting_avg,Batting_strikerate,Batting_total_runs,Batting_boundary,Batting_dot,Bowling_balls,Bowling_over,Bowling_runs,Bowling_economy,Bowling_wickets,Bowling_total_runs,Bowling_avg,Bowling_strikerate
SC Ganguly,25.942307692307693,106.81,1349.0,59.3,47.43,276.0,46.0,363.0,7.891304347826087,12.0,30.25,23.0,14.130434782608695
BB McCullum,28.254901960784313,131.6,2882.0,67.73,43.2,,,,,,,,
RT Ponting,11.375,71.09,91.0,35.16,53.12,,,,,,,,
DJ Hussey,28.73913043478261,122.98,1322.0,54.46,37.12,317.0,52.833333333333336,473.0,8.952681388012618,10.0,47.3,31.7,17.350157728706623
Mohammad Hafeez,9.142857142857142,77.11,64.0,62.5,60.24,60.0,10.0,64.0,6.4,2.0,32.0,30.0,11.666666666666666
R Dravid,28.986666666666668,115.52,2174.0,57.22,41.6,,,,,,,,
W Jaffer,18.571428571428573,107.44,130.0,56.92,46.28,,,,,,,,
V Kohli,39.09268292682927,132.05,8014.0,55.78,33.47,251.0,41.833333333333336,367.0,8.772908366533864,5.0,73.4,50.2,14.342629482071715
JH Kallis,29.240963855421686,109.23,2427.0,52.9,41.09,1742.0,290.3333333333333,2279.0,7.849598163031,74.0,30.7972972972973,23.54054054054054,16.87715269804822
CL White,28.558823529411764,127.76,971.0,54.79,34.21,42.0,7.0,85.0,12.142857142857142,1.0,85.0,42.0,26.190476190476193
MV Boucher,28.142857142857142,127.51,394.0,52.28,34.63,,,,,,,,
B Akhil,15.2,138.18,76.0,65.79,43.64,188.0,31.333333333333332,240.0,7.659574468085107,7.0,34.285714285714285,26.857142857142858,14.361702127659576
AA Noffke,9.0,90.0,9.0,44.44,40.0,24.0,4.0,36.0,9.0,1.0,36.0,24.0,16.666666666666664
P Kumar,10.0,108.28,340.0,55.88,47.45,2524.0,420.6666666666667,3219.0,7.652139461172741,102.0,31.558823529411764,24.745098039215687,17.51188589540412
Z Khan,8.357142857142858,82.98,117.0,47.86,52.48,2200.0,366.6666666666667,2767.0,7.546363636363636,119.0,23.252100840336134,18.48739495798319,17.09090909090909
SB Joshi,3.0,42.86,6.0,0.0,57.14,55.0,9.166666666666666,82.0,8.945454545454545,1.0,82.0,55.0,20.0
PA Patel,23.537190082644628,120.78,2848.0,61.59,42.28,,,,,,,,
ML Hayden,39.535714285714285,137.34,1107.0,67.57,41.44,,,,,,,,
MEK Hussey,40.3469387755102,122.64,1977.0,55.84,37.66,,,,,,,,
MS Dhoni,40.02290076335878,137.54,5243.0,56.53,33.79,,,,,,,,
SK Raina,34.17283950617284,136.83,5536.0,58.67,33.24,908.0,151.33333333333334,1118.0,7.387665198237885,30.0,37.266666666666666,30.266666666666666,12.665198237885464
JDP Oram,13.25,98.15,106.0,50.94,44.44,237.0,39.5,349.0,8.835443037974683,13.0,26.846153846153847,18.23076923076923,20.253164556962027
S Badrinath,31.32608695652174,118.89,1441.0,54.41,37.95,,,,,,,,
K Goel,16.76923076923077,94.37,218.0,55.96,52.81,66.0,11.0,93.0,8.454545454545455,0.0,,,16.666666666666664
